tin_weight,Site,Rep,Treatment,Category ,wet_weight,dry_weight,wet_minus_tin,dry_minus_tin,wet_minus_dry,Date_into_oven,Date_out_of_oven,
1.11,S,2,Cage,mobile inverts,1.62,1.33,0.51,0.22,0.29,9-20-24,9-24-24,1 and 4 mixed up
0.95,S,4,Cage,mobile inverts,0.97,0.98,0.02,0.03,-0.01,9-20-24,9-24-24,
1.11,S,7,Control,algae,2.72,1.25,1.61,0.14,1.47,9-20-24,9-24-24,
1.32,S,2,Cage,algae,4.69,2.04,3.37,0.72,2.65,9-20-24,9-24-24,
0.92,S,7,Control,barn,1.54,1.34,0.62,0.42,0.20,9-20-24,9-24-24,
0.95,S,7,Cage,mobile inverts,1.1,1.03,0.15,0.08,0.07,9-20-24,9-24-24,
0.73,S,4,Cage,other inverts,1.74,0.96,1.01,0.23,0.78,9-20-24,9-24-24,
1.21,S,5,Roof,barn,29.65,22.26,28.44,21.05,7.39,9-20-24,9-24-24,
1.12,S,5,Cage,other inverts,24.62,3.98,23.5,2.86,20.64,9-20-24,9-24-24,
1,S,2,Cage,barn,2.09,1.67,1.09,0.67,0.42,9-20-24,9-24-24,
0.94,S,4,Roof,algae,1,0.98,0.06,0.04,0.02,9-20-24,9-24-24,
0.94,S,2,Cage,other inverts,4.36,1.54,3.42,0.6,2.82,9-20-24,9-24-24,
0.76,S,7,Control,mobile inverts,0.87,0.8,0.11,0.04,0.07,9-20-24,9-24-24,
0.94,S,4,Cage,algae,5.03,2.16,4.09,1.22,2.87,9-20-24,9-24-24,
1.09,S,5,Roof,mobile inverts,2.33,1.91,1.24,0.82,0.42,9-20-24,9-24-24,
1.09,S,5,Control,barn,23.17,18.27,22.08,17.18,4.90,9-20-24,9-24-24,
0.79,S,6,Roof,mobile inverts,1.11,0.91,0.32,0.12,0.20,9-20-24,9-24-24,
1.14,S,3,Cage,barn,4.97,3.25,3.83,2.11,1.72,9-20-24,9-24-24,
0.73,S,3,Cage,algae,2.77,1.48,2.04,0.75,1.29,9-20-24,9-24-24,
1.05,S,3,Roof,barn,25.04,16.74,23.99,15.69,8.30,9-20-24,9-24-24,
0.94,S,3,Cage,mobile inverts,1.7,1.48,0.76,0.54,0.22,9-20-24,9-24-24,
0.92,S,3,Control,algae,2.05,1.17,1.13,0.25,0.88,9-20-24,9-24-24,
0.9,S,5,Cage,barn,3.53,2.66,2.63,1.76,0.87,9-20-24,9-24-24,
1.15,S,1,Control,barn,1.72,1.41,0.57,0.26,0.31,9-20-24,9-24-24,
0.98,S,1,Roof,other inverts,2.13,1.52,1.15,0.54,0.61,9-20-24,9-24-24,
0.94,S,3,Roof,algae,1.41,1.16,0.47,0.22,0.25,9-20-24,9-24-24,
0.75,S,4,Roof,mobile inverts,0.93,0.85,0.18,0.1,0.08,9-20-24,9-24-24,
1.15,S,6,Cage,other inverts,13.3,3.14,12.15,1.99,10.16,9-20-24,9-24-24,
0.75,S,5,Cage,mobile inverts,2.51,1.73,1.76,0.98,0.78,9-20-24,9-24-24,
0.69,S,3,Roof,other inverts,0.77,0.76,0.08,0.07,0.01,9-20-24,9-24-24,
1.35,N,4,Cage,other inverts,5.39,2.2,4.04,0.85,3.19,9-20-24,9-24-24,
1.04,S,4,Roof,other inverts,1.06,1.01,0.02,-0.03,0.05,9-20-24,9-24-24,
0.88,S,3,Cage,other inverts,2.57,1.42,1.69,0.54,1.15,9-20-24,9-24-24,
0.92,S,6,Control,algae,1.67,1.06,0.75,0.14,0.61,9-20-24,9-24-24,
1.28,S,6,Cage,barn,5.08,3.39,3.8,2.11,1.69,9-20-24,9-24-24,
1.1,S,4,Control,algae,1.28,1.13,0.18,0.03,0.15,9-20-24,9-24-24,
1.15,S,1,Control,algae,1.45,1.21,0.3,0.06,0.24,9-20-24,9-24-24,
0.88,S,1,Cage,other inverts,0.92,0.91,0.04,0.03,0.01,9-20-24,9-24-24,
0.94,S,6,Cage,other inverts,3.49,2.14,2.55,1.2,1.35,9-20-24,9-24-24,
0.86,S,1,Cage,barn,1.01,0.95,0.15,0.09,0.06,9-20-24,9-24-24,
1.15,S,6,Cage,barn,3.84,2.68,2.69,1.53,1.16,9-20-24,9-24-24,
0.86,S,7,Cage,barn,1.1,1,0.24,0.14,0.10,9-20-24,9-24-24,
0.93,S,3,Roof,mobile inverts,2.15,1.82,1.22,0.89,0.33,9-20-24,9-24-24,
0.94,N,1,Roof,mobile inverts,0.97,0.94,0.03,0,0.03,9-20-24,9-24-24,
0.99,N,4,Cage,barn,1.68,1.37,0.69,0.38,0.31,9-20-24,9-24-24,
1,N,4,Control,other inverts,1.03,1.01,0.03,0.01,0.02,9-20-24,9-24-24,
0.98,S,4,Roof,barn,2.47,2.06,1.49,1.08,0.41,9-20-24,9-24-24,
1.04,S,6,Cage,bivalve,1.12,1.08,0.08,0.04,0.04,9-20-24,9-24-24,
0.92,S,6,Roof,algae,4.49,1.7,3.57,0.78,2.79,9-20-24,9-24-24,
1.3,N,6,Control,other inverts,1.4,1.32,0.1,0.02,0.08,9-20-24,9-24-24,
0.97,S,7,Roof,barn,4.61,3.02,3.64,2.05,1.59,9-20-24,9-24-24,
0.96,S,5,Roof,algae,2.15,1.48,1.19,0.52,0.67,9-20-24,9-24-24,
1.07,S,6,Control,barn,17.08,11.79,16.01,10.72,5.29,9-20-24,9-24-24,
0.88,S,1,Cage,algae,1.21,0.96,0.33,0.08,0.25,9-20-24,9-24-24,
1.07,S,2,Control,barn,5.7,3.86,4.63,2.79,1.84,9-20-24,9-24-24,
1.01,S,2,Roof,mobile inverts,1.11,1.08,0.1,0.07,0.03,9-20-24,9-24-24,
0.8,S,2,Control,algae,2.97,1.18,2.17,0.38,1.79,9-20-24,9-24-24,
0.93,S,2,Roof,other inverts,3.01,1.73,2.08,0.8,1.28,9-20-24,9-24-24,
0.98,S,4,Cage,barn,1.47,1.43,0.49,0.45,0.04,9-20-24,9-24-24,
0.93,S,5,Control,algae,1.62,1.14,0.69,0.21,0.48,9-20-24,9-24-24,
0.8,S,6,Cage,mobile inverts,1.07,0.9,0.27,0.1,0.17,9-20-24,9-24-24,
0.97,S,1,Roof,barn,2.63,2.05,1.66,1.08,0.58,9-20-24,9-24-24,
1.08,S,7,Cage,other inverts,12.56,2.7,11.48,1.62,9.86,9-20-24,9-24-24,
0.9,S,6,Cage,algae,1.06,0.93,0.16,0.03,0.13,9-20-24,9-24-24,
0.94,S,5,Control,other inverts,1.06,1.02,0.12,0.08,0.04,9-20-24,9-24-24,
0.67,S,7,Cage,algae,1.43,0.89,0.76,0.22,0.54,9-20-24,9-24-24,
1.41,S,2,Roof,algae,17.82,4.5,16.41,3.09,13.32,9-20-24,9-24-24,
0.89,S,1,Control,mobile inverts,0.9,0.89,0.01,0,0.01,9-20-24,9-24-24,
0.82,S,7,Roof,other inverts,5.27,2.35,4.45,1.53,2.92,9-20-24,9-24-24,
0.87,S,7,Roof,algae,9.24,2.41,8.37,1.54,6.83,9-20-24,9-24-24,
0.93,S,1,Cage,mobile inverts,0.95,0.92,0.02,-0.01,0.03,9-20-24,9-24-24,
1.05,S,2,Roof,barn,13.9,9.68,12.85,8.63,4.22,9-20-24,9-24-24,
1.05,S,1,Roof,mobile inverts,1.05,1.06,0,0.01,-0.01,9-20-24,9-24-24,
0.76,S,1,Roof,algae,1.05,0.9,0.29,0.14,0.15,9-20-24,9-24-24,
1.21,N,5,Cage,algae,3.61,1.55,2.4,0.34,2.06,9-20-24,9-24-24,
1.21,N,7,Roof,other inverts,1.23,1.25,0.02,0.04,-0.02,9-20-24,9-24-24,
0.82,N,6,Cage,other inverts,1.33,0.89,0.51,0.07,0.44,9-20-24,9-24-24,
1.07,N,6,Roof,other inverts,2.37,1.52,1.3,0.45,0.85,9-20-24,9-24-24,
0.91,N,6,Roof,barn,1.36,1.2,0.45,0.29,0.16,9-20-24,9-24-24,
1.07,N,2,Roof,barn,1.13,1.11,0.06,0.04,0.02,9-20-24,9-24-24,
0.92,N,7,Control,mobile inverts,0.93,0.93,0.01,0.01,0.00,9-20-24,9-24-24,
1.07,N,2,Roof,algae,5.42,2.16,4.35,1.09,3.26,9-20-24,9-24-24,
0.69,N,4,Cage,algae,0.9,0.75,0.21,0.06,0.15,9-20-24,9-24-24,
0.81,N,5,Control,other inverts,1.13,0.98,0.32,0.17,0.15,9-20-24,9-24-24,
0.73,N,5,Control,algae,2.55,0.92,1.82,0.19,1.63,9-20-24,9-24-24,
1.06,N,5,Roof,bivalve,1.08,1.1,0.02,0.04,-0.02,9-20-24,9-24-24,
1.38,N,2,Cage,algae,1.45,1.38,0.07,0,0.07,9-20-24,9-24-24,
0.97,N,2,Control,algae,1.66,1.1,0.69,0.13,0.56,9-20-24,9-24-24,
1.09,S,5,Cage,algae,2.46,1.43,1.37,0.34,1.03,9-20-24,9-24-24,
1.09,N,7,Roof,algae,1.43,1.19,0.34,0.1,0.24,9-20-24,9-24-24,
1.02,N,1,Control,algae,4.11,1.47,3.09,0.45,2.64,9-20-24,9-24-24,
0.97,N,5,Roof,other inverts,1.51,1.22,0.54,0.25,0.29,9-20-24,9-24-24,
1.11,N,3,Control,other inverts,1.18,1.16,0.07,0.05,0.02,9-20-24,9-24-24,
1,N,7,Control,algae,,1.1,-1,0.1,-1.10,9-20-24,9-24-24,
1.08,N,2,Cage,other inverts,1.12,1.09,0.04,0.01,0.03,9-20-24,9-24-24,
1.08,N,7,Roof,barn,1.11,1.08,0.03,0,0.03,9-20-24,9-24-24,
1.08,N,6,Cage,algae,1.21,1.11,0.13,0.03,0.10,9-20-24,9-24-24,
1.24,N,5,Roof,other inverts,3.13,1.51,1.89,0.27,1.62,9-20-24,9-24-24,
1.12,N,3,Control,algae,1.63,1.18,0.51,0.06,0.45,9-20-24,9-24-24,
1.12,N,7,Cage,algae,1.8,1.25,0.68,0.13,0.55,9-20-24,9-24-24,
1.2,N,1,Cage,other inverts,2.77,1.82,1.57,0.62,0.95,9-20-24,9-24-24,
0.91,N,7,Cage,other inverts,1.02,0.95,0.11,0.04,0.07,9-20-24,9-24-24,
0.66,N,1,Cage,bivalve,0.79,0.76,0.13,0.1,0.03,9-20-24,9-24-24,
1.01,N,6,Control,algae,2.13,1.17,1.12,0.16,0.96,9-20-24,9-24-24,
0.92,N,3,Roof,barn,1.87,1.52,0.95,0.6,0.35,9-20-24,9-24-24,
1.35,N,5,Roof,algae,4.17,1.77,2.82,0.42,2.40,9-20-24,9-24-24,
1.06,N,3,Roof,algae,1.87,1.18,0.81,0.12,0.69,9-20-24,9-24-24,
1.41,N,3,Cage,algae,1.65,1.48,0.24,0.07,0.17,9-20-24,9-24-24,
1.11,N,4,Roof,other inverts,1.41,1.15,0.3,0.04,0.26,9-20-24,9-24-24,
1.07,N,5,Roof,barn,1.23,1.17,0.16,0.1,0.06,9-20-24,9-24-24,
1.07,N,2,Roof,other inverts,1.99,1.19,0.92,0.12,0.80,9-20-24,9-24-24,
1.1,N,6,Roof,algae,1.97,1.25,0.87,0.15,0.72,9-20-24,9-24-24,
1.38,N,4,Control,algae,2.13,1.46,0.75,0.08,0.67,9-20-24,9-24-24,
1.21,N,1,Roof,algae,9.63,4.17,8.42,2.96,5.46,9-20-24,9-24-24,
0.94,N,4,Roof,algae,3.32,1.32,2.38,0.38,2.00,9-20-24,9-24-24,
0.9,N,3,Roof,other inverts,3.6,2.1,2.7,1.2,1.50,9-20-24,9-24-24,
1.07,N,1,Cage,algae,2.01,1.49,0.94,0.42,0.52,9-20-24,9-24-24,
0.86,N,1,Roof,other inverts,2.13,1.37,1.27,0.51,0.76,9-20-24,9-24-24,
0.97,N,4,Roof,barn,2.3,1.85,1.33,0.88,0.45,9-20-24,9-24-24,
1.07,N,3,Cage,other inverts,2.9,1.32,1.83,0.25,1.58,9-20-24,9-24-24,
1.07,N,1,Cage,mobile inverts,1.21,1.11,0.14,0.04,0.10,9-20-24,9-24-24,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
